gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,delta_nrmse,d_ref,reference_frozen_nrmse,drift_increase_test,n_reference,n_test
CO,13,random_forest,5,0.0786730254450533,0.0909060456649183,-0.012233020219865012,0.8366633104468539,0.14629189023579,-0.0122770365200281,5,209
CO,13,random_forest,10,0.0786730254450533,0.0840506645081518,-0.005377639063098502,0.4725050788175227,0.1172863584396459,-0.0122770365200281,10,209
CO,13,random_forest,20,0.0786730254450533,0.0812236325248731,-0.0025506070798198,0.4634944779455493,0.1165686559482728,-0.0122770365200281,20,209
CO,13,random_forest,50,0.0786730254450533,0.0775955643514323,0.0010774610936209877,0.1013038348018547,0.0877198443507262,-0.0122770365200283,50,209
CO,13,xgboost,0,0.0867562096347296,0.0867562096347296,0.0,,,0.1414472351394047,0,209
CO,13,xgboost,2,0.0867562096347296,0.1813289789133745,-0.09457276927864489,3.007858767146072,0.3046191051892541,0.1414472351394047,2,209
CO,13,xgboost,5,0.0867562096347296,0.0982982487568236,-0.011542039122093992,1.5495871622929809,0.1937825170752558,0.1414472351394047,5,209
CO,13,xgboost,10,0.0867562096347296,0.0862944851145507,0.00046172452017889665,0.986604147641863,0.1509927402583718,0.1414472351394047,10,209
CO,13,xgboost,20,0.0867562096347296,0.0796206843531551,0.0071355252815745035,0.8574187541985315,0.1411739464234155,0.1414472351394047,20,209
CO,13,xgboost,50,0.0867562096347296,0.0802155004608478,0.0065407091738818035,0.3843528440568192,0.1052183595089786,0.1414472351394047,50,209
NO2,4,pls,0,0.1409191149857765,0.1409191149857765,0.0,,,0.2468917576720324,0,191
NO2,4,pls,2,0.1409191149857765,0.1187064659084692,0.0222126490773073,1.2637006957247603,0.2558351169389359,0.2468917576720324,2,191
NO2,4,pls,5,0.1409191149857765,0.1190823467035905,0.021836768282186003,1.181545242535026,0.2465502101428819,0.2468917576720324,5,191
NO2,4,pls,10,0.1409191149857765,0.1095814556690086,0.031337659316767894,0.8883865497176343,0.2134184941875663,0.2468917576720324,10,191
NO2,4,pls,20,0.1409191149857765,0.1122003352733578,0.028718779712418693,0.7168536098076563,0.1940324729597474,0.2468917576720324,20,191
NO2,4,pls,50,0.1409191149857765,0.1017882985779766,0.039130816407799904,0.5781950554798115,0.178361793736101,0.2468917576720324,50,191
NO2,4,random_forest,0,0.1131850482044795,0.1131850482044795,0.0,,,0.0651878625426237,0,191
NO2,4,random_forest,2,0.1131850482044795,0.1010533840186724,0.012131664185807106,0.807921694661024,0.1921066802917538,0.0651878625426237,2,191
NO2,4,random_forest,5,0.1131850482044795,0.1088998640626802,0.004285184141799306,0.6322751701722835,0.1734427797345768,0.0651878625426237,5,191
NO2,4,random_forest,10,0.1131850482044795,0.0937295657565652,0.0194554824479143,0.3660264172963601,0.1451516406891973,0.0651878625426237,10,191
NO2,4,random_forest,20,0.1131850482044795,0.0951109058896826,0.018074142314796898,0.3119978213454278,0.1394106540969079,0.0651878625426237,20,191
NO2,4,random_forest,50,0.1131850482044795,0.0952831428518806,0.017901905352598904,0.2150124749753751,0.1291051563626213,0.0651878625426237,50,191
NO2,4,xgboost,0,0.112484996891412,0.112484996891412,0.0,,,0.0371050970217674,0,191
NO2,4,xgboost,2,0.112484996891412,0.1052985075480936,0.007186489343318406,0.9406342701600744,0.2104822746250006,0.0371050970217674,2,191
