gas_id,target_batch,model,budget,n_reference,n_test,residual_df,panel_targets,panel_predictions,extreme_true_gap,extreme_pred_gap,extreme_gap_ratio,panel_rank_agreement,panel_pearson_r,panel_residual_rmse,calibrator_slope,calibrator_intercept,frozen_nrmse,light_nrmse,ratio,window_set
NOx,10,random_forest,5,5,110,3,"93, 149, 166, 404, 460","37.615, 52.195, 67.980, 143.800, 132.500",367.0,94.88499999999999,0.25854223433242507,0.9,0.9758474346638658,32.34659222809764,3.3488889599815614,-36.343841727679234,0.4230235481031335,0.19513312562958537,0.4612819463705405,held
NOx,10,xgboost,5,5,110,3,"93, 149, 166, 404, 460","43.820, 56.316, 59.077, 145.866, 149.090",367.0,105.2700080871582,0.2868392590930741,1.0,0.9937114574343788,16.57968793582794,3.1611726974946506,-32.740589753619446,0.42626399613644084,0.195856416541772,0.4594721072315975,held
NOx,11,pls,5,5,142,3,"19, 122, 154, 357, 452","-10.971, 10.698, 13.974, 149.715, 166.358",433.0,177.32858084243983,0.40953482873542685,1.0,0.9775348684283792,33.585303480143864,2.053452083589366,85.36526078893542,0.3946415121166926,0.1114115144175358,0.2823106819654396,held
NOx,11,random_forest,5,5,142,3,"19, 122, 154, 357, 452","31.360, 44.535, 39.740, 154.470, 199.485",433.0,168.125,0.3882794457274827,0.9,0.9722586077535225,37.27166340807298,2.2315449039473925,11.217765711068836,0.35848952786713284,0.11857498054277067,0.33076274570206743,held
NOx,11,xgboost,5,5,142,3,"19, 122, 154, 357, 452","25.904, 49.634, 48.483, 160.225, 221.600",433.0,195.69582557678223,0.4519534077985733,0.9,0.9822096808131313,29.922604013097832,2.0519517273707972,13.205530824527244,0.35622316762924944,0.14186047601265434,0.3982348395719734,held
NOx,12,pls,5,5,159,3,"59, 131, 144, 388, 456","-8.408, 28.560, 32.257, 140.437, 120.053",397.0,128.4606199363287,0.32357838774893877,0.9,0.9667119926012064,40.02028222545704,2.6336416789396875,70.78718617114535,0.41487345943310067,0.17140179425072302,0.4131423458249972,held
NOx,12,random_forest,5,5,159,3,"59, 131, 144, 388, 456","36.165, 51.880, 66.950, 149.560, 106.705",397.0,70.53999999999999,0.17768261964735516,0.9,0.884416963042543,72.99639582910218,3.373163364664573,-41.84943307039046,0.37966354168545574,0.19976761569148507,0.5261701315976999,held
NOx,12,xgboost,5,5,159,3,"59, 131, 144, 388, 456","37.471, 48.822, 62.097, 166.983, 121.202",397.0,83.73104858398438,0.21090944227703873,0.9,0.9033252199271058,67.09327042056483,2.8724202830527785,-15.204950113911707,0.3870422533581194,0.19231361819731022,0.49688016367393295,held
NOx,13,pls,5,5,174,3,"93, 107, 146, 371, 408","40.031, 33.002, 68.466, 138.480, 146.871",315.0,106.83925305789874,0.3391722319298373,0.9,0.9892918128146347,19.840111443207626,2.781623702513613,-12.46728967985959,0.35562241604763006,0.1520203024107622,0.42747671561401646,held
NOx,13,random_forest,5,5,174,3,"93, 107, 146, 371, 408","49.170, 74.865, 71.415, 139.665, 173.960",315.0,124.79,0.39615873015873015,0.9,0.9778953951928354,28.423654770024054,2.8264863452624347,-62.778707242894825,0.32199261808799395,0.13506015387034004,0.41945108764397476,held
NOx,13,xgboost,5,5,174,3,"93, 107, 146, 371, 408","48.411, 59.935, 52.528, 135.231, 173.060",315.0,124.64874267578125,0.39571029420882936,0.9,0.9787374246390428,27.882961518922666,2.618432963821448,-20.696072025802493,0.3319397410356828,0.1304241311364932,0.3929150837123564,held
CO,4,pls,6,6,201,4,"0.6, 0.7, 1, 2.5, 3.4, 4.1","0.648, 0.575, 1.282, 2.732, 3.338, 3.371",3.4999999999999996,2.723578695936806,0.7781653416962303,0.9333333333333333,0.9753703548418484,0.3020998209562953,1.1171559558973245,-0.17435031606928808,0.05838235202647815,0.0578819465304383,0.9914288226035686,fit
CO,4,random_forest,6,6,201,4,"0.6, 0.7, 1, 2.5, 3.4, 4.1","0.738, 0.574, 1.088, 3.239, 3.613, 3.890",3.4999999999999996,3.151500000000005,0.9004285714285729,0.9333333333333333,0.9762735706616987,0.2965765769254863,0.9475075412920457,-0.025357351276678042,0.05468793442593043,0.05342785282207529,0.9769586908505056,fit
CO,4,xgboost,6,6,201,4,"0.6, 0.7, 1, 2.5, 3.4, 4.1","0.636, 0.586, 1.325, 3.341, 3.707, 3.685",3.4999999999999996,3.0489339232444763,0.8711239780698505,0.8666666666666667,0.9592541376181003,0.3869762108215987,0.9451175460475071,-0.04206952714323675,0.05684906063685379,0.05638012563014106,0.9917512268195909,fit
CO,5,pls,6,6,139,4,"0.4, 0.7, 0.9, 2.4, 2.5, 3.8","0.353, 0.576, 1.105, 2.201, 2.071, 2.789",3.4,2.436272499439246,0.7165507351291901,0.9333333333333333,0.9793701831926716,0.24511784723253988,1.3276552026550208,-0.22908040719763756,0.08221747214460884,0.11056285551369534,1.344761066348902,fit
CO,5,random_forest,6,6,139,4,"0.4, 0.7, 0.9, 2.4, 2.5, 3.8","0.454, 0.845, 0.928, 2.320, 2.290, 3.203",3.4,2.749,0.8085294117647059,0.9333333333333333,0.9960290132327572,0.1079931927099517,1.2219543990656714,-0.2616073535030674,0.07339079882735973,0.09481933943539926,1.2919785715706242,fit
CO,5,xgboost,6,6,139,4,"0.4, 0.7, 0.9, 2.4, 2.5, 3.8","0.536, 0.800, 1.038, 2.325, 2.223, 3.090",3.4,2.554113805294037,0.7512099427335402,0.9333333333333333,0.9943872476877533,0.1283383404496791,1.2964920234178525,-0.38010607219583115,0.06901079027550669,0.09301380042260232,1.3478153206371088,fit
CO,6,pls,6,6,134,4,"0.5, 0.7, 0.9, 1.7, 1.9, 3.5","0.117, 0.194, 0.555, 1.616, 1.765, 3.464",3.0,3.3467126005277654,1.1155708668425885,1.0,0.997080654722029,0.0775759559870497,0.8678392849913006,0.4182382469643158,0.06155537155623999,0.06362639678710176,1.033644914789761,fit
CO,6,random_forest,6,6,134,4,"0.5, 0.7, 0.9, 1.7, 1.9, 3.5","0.451, 0.701, 1.022, 1.857, 1.641, 3.859",3.0,3.4070000000000022,1.1356666666666675,0.9333333333333333,0.9894890009168154,0.146919476634322,0.8915832790342342,0.11697899598086625,0.04761807771896754,0.04688491373401681,0.9846032427163962,fit
CO,6,xgboost,6,6,134,4,"0.5, 0.7, 0.9, 1.7, 1.9, 3.5","0.375, 0.637, 1.098, 1.677, 1.524, 3.859",3.0,3.4837470948696136,1.1612490316232045,0.9333333333333333,0.9826400703587379,0.1884874861288999,0.8776681059047151,0.19214808164712616,0.052885421736398215,0.05483486475980829,1.0368616333084544,fit
CO,7,pls,6,6,139,4,"0.6, 0.8, 1, 3.1, 3.7, 6.1","0.820, 0.286, 0.546, 2.680, 3.123, 4.726",5.5,3.906228561426351,0.7102233748047911,0.8666666666666667,0.9872747906855215,0.3146831787602208,1.2119032493222415,0.08972463204533421,0.08577101362679913,0.08190631157262596,0.954941630152711,fit
CO,7,random_forest,6,6,139,4,"0.6, 0.8, 1, 3.1, 3.7, 6.1","0.886, 0.589, 0.801, 3.084, 3.536, 4.976",5.5,4.090000000000002,0.743636363636364,0.8666666666666667,0.9874047269706298,0.31308268653332116,1.179131790885754,-0.17595617856271684,0.059380639726978324,0.07911369650797272,1.33231465460331,fit
CO,7,xgboost,6,6,139,4,"0.6, 0.8, 1, 3.1, 3.7, 6.1","0.869, 0.478, 0.904, 3.205, 3.300, 4.622",5.5,3.7537821531295776,0.6825058460235596,0.9333333333333333,0.9771252891374987,0.42083029999442845,1.2436475391275401,-0.22279185132343216,0.06978577247227824,0.09079454817845219,1.3010466884853855,fit
CO,8,pls,6,6,141,4,"0.5, 1.3, 1.5, 3.7, 4.6, 6.8","0.354, 1.066, 1.452, 3.354, 4.157, 5.728",6.3,5.3738247917483655,0.8529880621822803,1.0,0.9975518962011996,0.15335089703745292,1.1570233247411899,-0.04021371454864653,0.058881844249911656,0.05560535833409142,0.9443549033227648,fit
