gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,slope,d_ref,n_reference,n_test,ratio,delta_nrmse,window_set
NO2,12,xgboost,2,0.3475386021906975,0.3463861363871774,0.3899199117147687,3.9753533087236144,2,144,0.9966839200127539,0.0011524658035200752,held
NO2,13,pls,2,0.1441185089478762,0.1463868892496823,1.073512663204544,-0.3108898551833451,2,194,1.0157396875555138,-0.0022683803018060944,held
NO2,13,random_forest,2,0.2511566141493447,0.1496272314649639,1.0161295700258726,1.3386208624033886,2,194,0.5957527018420123,0.1015293826843808,held
NO2,13,xgboost,2,0.2589187062140269,0.1460071759695413,1.0532628513189553,1.8225743178035183,2,194,0.5639112681524413,0.11291153024448561,held
NOx,4,pls,2,0.0957299318508368,0.1739839180094591,0.7558873536649205,2.233685125009024,2,197,1.817445334449366,-0.0782539861586223,fit
NOx,4,random_forest,2,0.0902620850209509,0.1999680437266542,0.6581531770305472,2.194808353571501,2,197,2.2154157382940936,-0.1097059587057033,fit
NOx,4,xgboost,2,0.090485713534672,0.18959510577009,0.6825229645080967,1.96546748581562,2,197,2.0953043122928086,-0.09910939223541801,fit
NOx,5,pls,2,0.099780434341423,0.2312893345699436,0.6321964168838261,2.864034626785851,2,198,2.317982839987757,-0.1315089002285206,fit
NOx,5,random_forest,2,0.0919113527270852,0.1803792666042074,0.6644805872680339,1.8630425016818035,2,198,1.9625352173829091,-0.08846791387712219,fit
NOx,5,xgboost,2,0.0963315106573193,0.1645702170372396,0.6881041882592485,1.3938709067777555,2,198,1.7083736766328337,-0.06823870637992029,fit
NOx,6,pls,2,0.1016509067851692,0.1095836298538847,0.7570575452577697,2.13155679511197,2,107,1.0780388814974435,-0.007932723068715494,fit
NOx,6,random_forest,2,0.0976632736567326,0.0987275404085647,0.8524262064281293,1.0668185926193874,2,107,1.0108973077799215,-0.0010642667518321047,fit
NOx,6,xgboost,2,0.0989270602247858,0.1139917663626291,0.7594929397697823,1.5096015221456938,2,107,1.1522809441988138,-0.015064706137843303,fit
NOx,7,pls,2,0.321197698232573,0.1506651761653427,1.0509216909176935,3.197326087229401,2,107,0.46907302572339415,0.1705325220672303,fit
NOx,7,random_forest,2,0.2928973370025678,0.1660446119679955,1.0948372029125883,2.7765793495111484,2,107,0.5669037952589504,0.12685272503457232,fit
NOx,7,xgboost,2,0.2960575982009445,0.1429544474876937,0.8871114619379289,3.546954066882797,2,107,0.4828602554245731,0.1531031507132508,fit
NOx,8,pls,2,0.3499082047556124,0.2448335154194047,0.6542237213215896,5.134168689860228,2,105,0.6997078436340315,0.1050746893362077,fit
NOx,8,random_forest,2,0.3212485860048769,0.1777725566655729,0.7379102267995618,4.811904014804951,2,105,0.553380044022588,0.14347602933930398,fit
NOx,8,xgboost,2,0.331020801748334,0.1845022823788004,0.6892514229475261,4.671048879003823,2,105,0.5573736798543326,0.14651851936953358,fit
NOx,9,pls,2,0.4198521114588329,0.3426269236242018,0.4995302550435159,7.526533676039738,2,125,0.8160657390377251,0.07722518783463111,fit
NOx,9,random_forest,2,0.3948734600821519,0.3592890096259853,0.5573717621975988,8.053556350780426,2,125,0.9098839145868062,0.035584450456166594,fit
NOx,9,xgboost,2,0.3949161559939855,0.4489049744499884,0.5048371051806205,8.12232028972341,2,125,1.1367095714788258,-0.053988818456002896,fit
NOx,10,pls,2,0.4585298388959065,0.5893398205830139,0.379411627113599,7.698827381445695,2,110,1.2852812850785995,-0.13080998168710745,held
NOx,10,random_forest,2,0.4230235481031335,0.2811329239019282,0.5704355253464902,7.254807681618105,2,110,0.6645798446978837,0.1418906242012053,held
NOx,10,xgboost,2,0.4262639961364408,0.2247635807432551,0.5828522334156055,6.701558778920791,2,110,0.5272872745070207,0.2015004153931857,held
NOx,11,pls,2,0.3946415121166926,0.1291917043181127,0.8214511878928303,4.901552878915048,2,142,0.3273647103802695,0.26544980779857996,held
NOx,11,random_forest,2,0.3584895278671328,0.1881782468521715,0.8658732035512057,4.654233113412485,2,142,0.5249197876762418,0.1703112810149613,held
NOx,11,xgboost,2,0.3562231676292494,0.2031181574553235,0.9249311666005696,3.897950359983015,2,142,0.5701991782486343,0.1531050101739259,held
NOx,12,pls,2,0.4148734594331006,0.2259776588102116,0.582780522121305,6.43871436788158,2,159,0.5446905644892213,0.18889580062288902,held
NOx,12,random_forest,2,0.3796635416854557,0.4195450396843639,0.3592013874592341,7.230381765832005,2,159,1.105044318508595,-0.03988149799890822,held
NOx,12,xgboost,2,0.3870422533581194,0.3177701711387805,0.4006870758487946,6.662018849026231,2,159,0.8210219126766931,0.06927208221933895,held
NOx,13,pls,2,0.35562241604763,0.1649244092435422,0.646665020219687,6.154142628026515,2,174,0.46376269267979214,0.1906980068040878,held
NOx,13,random_forest,2,0.3219926180879939,0.1159043295546888,0.81356497702139,5.926485517064797,2,174,0.35995958616360124,0.2060882885333051,held
NOx,13,xgboost,2,0.3319397410356828,0.134828911575529,0.7858334485462392,5.855302403145336,2,174,0.40618490318408484,0.1971108294601538,held
CO,4,pls,3,0.0583823520264781,0.0915485739136077,0.8517434866475007,0.6961432675019207,3,201,1.568086429133375,-0.033166221887129595,fit
CO,4,random_forest,3,0.0546879344259304,0.0634569685196543,0.920000241827852,-0.4385969236636247,3,201,1.160346778238639,-0.008769034093723892,fit
CO,4,xgboost,3,0.0568490606368537,0.0829944745918323,0.8753769597831499,-0.1017142617464264,3,201,1.4599093399624135,-0.026145413954978602,fit
CO,5,pls,3,0.0822174721446088,0.1466851305979719,0.7580224536713279,0.9044492070681104,3,139,1.7841114153932351,-0.0644676584533631,fit
CO,5,random_forest,3,0.0733907988273597,0.1063241554074674,0.7936245236849956,0.0230068744765244,3,139,1.4487395846116655,-0.032933356580107695,fit
CO,5,xgboost,3,0.0690107902755066,0.1095452526788791,0.7808006882835251,0.2773971295164224,3,139,1.5873641243861982,-0.040534462403372495,fit
